code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,fbref,understat,transfermarkt
1,Folarin,Balogun,Balogun,,,,,,,,1,,,,
2,Cédric,Alves Soares,Alves Soares,,,,,,,,2,,,,
3,Mohamed,Elneny,Elneny,,,,,,,,3,,,,
4,Fábio,Ferreira Vieira,Ferreira Vieira,,,,,,,,4,,,,
5,Gabriel,dos Santos Magalhães,dos Santos Magalhães,,,,,,,,5,,,,
6,Kai,Havertz,Havertz,,,,,,,,6,,,,
8,Gabriel,Fernando de Jesus,Fernando de Jesus,,,,,,,,8,,,,
9,Jorge Luiz,Frello Filho,Frello Filho,,,,,,,,9,,,,
10,Jakub,Kiwior,Kiwior,,,,,,,,10,,,,
11,Marcus,Oliveira Alencar,Oliveira Alencar,,,,,,,,11,,,,
12,Gabriel,Martinelli Silva,Martinelli Silva,,,,,,,,12,,,,
13,Eddie,Nketiah,Nketiah,,,,,,,,13,,,,
14,Martin,Ødegaard,Ødegaard,,,,,,,,14,,,,
15,Thomas,Partey,Partey,,,,,,,,15,,,,
16,Nicolas,Pépé,Pépé,,,,,,,,16,,,,
17,Aaron,Ramsdale,Ramsdale,,,,,,,,17,,,,
18,Rúnar Alex,Rúnarsson,Rúnarsson,,,,,,,,18,,,,
19,Bukayo,Saka,Saka,,,,,,,,19,,,,
20,William,Saliba,Saliba,,,,,,,,20,,,,
22,Emile,Smith Rowe,Smith Rowe,,,,,,,,22,,,,
24,Kieran,Tierney,Tierney,,,,,,,,24,,,,
25,Takehiro,Tomiyasu,Tomiyasu,,,,,,,,25,,,,
26,Leandro,Trossard,Trossard,,,,,,,,26,,,,
29,Benjamin,White,White,,,,,,,,29,,,,
30,Granit,Xhaka,Xhaka,,,,,,,,30,,,,
31,Oleksandr,Zinchenko,Zinchenko,,,,,,,,31,,,,
113,David,Raya Martin,Raya Martin,,,,,,,,113,,,,
540,Declan,Rice,Rice,,,,,,,,540,,,,
578,Reiss,Nelson,Nelson,,,,,,,,578,,,,
585,Jurriën,Timber,Timber,,,,,,,,585,,,,
646,Karl,Hein,Hein,,,,,,,,646,,,,
735,Charles,Sagoe,Sagoe,,,,,,,,735,,,,
736,Reuell,Walters,Walters,,,,,,,,736,,,,
737,Bradley,Ibrahim,Ibrahim,,,,,,,,737,,,,
764,Myles,Lewis-Skelly,Lewis-Skelly,,,,,,,,764,,,,
772,Ethan,Nwaneri,Nwaneri,,,,,,,,772,,,,
815,Mauro,Bandeira,Bandeira,,,,,,,,815,,,,
817,James,Sweet,Sweet,,,,,,,,817,,,,
32,Alexandre,Moreno Lopera,Moreno Lopera,,,,,,,,32,,,,
34,Leon,Bailey,Bailey,,,,,,,,34,,,,
35,Emiliano,Buendía Stati,Buendía Stati,,,,,,,,35,,,,
36,Matty,Cash,Cash,,,,,,,,36,,,,
37,Calum,Chambers,Chambers,,,,,,,,37,,,,
38,Philippe,Coutinho Correia,Coutinho Correia,,,,,,,,38,,,,
39,Keinan,Davis,Davis,,,,,,,,39,,,,
40,Leander,Dendoncker,Dendoncker,,,,,,,,40,,,,
41,Diego Carlos,Santos Silva,Santos Silva,,,,,,,,41,,,,
42,Lucas,Digne,Digne,,,,,,,,42,,,,
43,Douglas Luiz,Soares de Paulo,Soares de Paulo,,,,,,,,43,,,,
44,Jhon,Durán,Durán,,,,,,,,44,,,,
45,Kortney,Hause,Hause,,,,,,,,45,,,,
46,Tim,Iroegbunam,Iroegbunam,,,,,,,,46,,,,
47,Boubacar,Kamara,Kamara,,,,,,,,47,,,,
48,Ezri,Konsa Ngoyo,Konsa Ngoyo,,,,,,,,48,,,,
49,Emiliano,Martínez Romero,Martínez Romero,,,,,,,,49,,,,
50,John,McGinn,McGinn,,,,,,,,50,,,,
51,Tyrone,Mings,Mings,,,,,,,,51,,,,
53,Robin,Olsen,Olsen,,,,,,,,53,,,,
54,Jaden,Philogene-Bidace,Philogene-Bidace,,,,,,,,54,,,,
55,Jacob,Ramsey,Ramsey,,,,,,,,55,,,,
56,Morgan,Sanson,Sanson,,,,,,,,56,,,,
57,Viljami,Sinisalo,Sinisalo,,,,,,,,57,,,,
58,Youri,Tielemans,Tielemans,,,,,,,,58,,,,
59,Bertrand,Traoré,Traoré,,,,,,,,59,,,,
60,Ollie,Watkins,Watkins,,,,,,,,60,,,,
61,Wesley,Moraes Ferreira da Silva,Moraes Ferreira da Silva,,,,,,,,61,,,,
584,Pau,Torres,Torres,,,,,,,,584,,,,
599,Moussa,Diaby,Diaby,,,,,,,,599,,,,
